department,category,budget_eur,project_id,country,date,amount_local,original_currency,rate,amount_eur
HR,Salaries,2253.09,BE55,Belgium,2023-08-31,2375.01,EUR,1.0,2375.01
HR,Training,2380.6,BE55,Belgium,2023-08-31,2099.84,EUR,1.0,2099.84
HR,Recruitment,4661.4,BE55,Belgium,2023-08-31,5108.98,EUR,1.0,5108.98
Medical,Medications,4620.96,BE55,Belgium,2023-08-31,3920.38,EUR,1.0,3920.38
Medical,Medical Equipment,4844.47,BE55,Belgium,2023-08-31,5262.44,EUR,1.0,5262.44
Medical,Consultations,4122.28,BE55,Belgium,2023-08-31,3830.28,EUR,1.0,3830.28
Logistics,Fuel,2526.11,BE55,Belgium,2023-08-31,2432.73,EUR,1.0,2432.73
Logistics,Transport,4233.83,BE55,Belgium,2023-08-31,4134.18,EUR,1.0,4134.18
Logistics,Vehicle Maintenance,2165.46,BE55,Belgium,2023-08-31,2087.59,EUR,1.0,2087.59
Supply,Supplies,4230.77,BE55,Belgium,2023-08-31,3534.48,EUR,1.0,3534.48
Supply,Warehousing,4406.7,BE55,Belgium,2023-08-31,4380.14,EUR,1.0,4380.14
Supply,Cold Chain,1206.79,BE55,Belgium,2023-08-31,987.3,EUR,1.0,987.3
HR,Salaries,3722.67,BE55,Belgium,2023-09-30,3369.59,EUR,1.0,3369.59
HR,Training,4164.0,BE55,Belgium,2023-09-30,3477.89,EUR,1.0,3477.89
HR,Recruitment,1195.38,BE55,Belgium,2023-09-30,1252.37,EUR,1.0,1252.37
Medical,Medications,4570.29,BE55,Belgium,2023-09-30,4208.08,EUR,1.0,4208.08
Medical,Medical Equipment,1629.54,BE55,Belgium,2023-09-30,1594.85,EUR,1.0,1594.85
Medical,Consultations,1278.62,BE55,Belgium,2023-09-30,1283.49,EUR,1.0,1283.49
Logistics,Fuel,4881.86,BE55,Belgium,2023-09-30,4483.32,EUR,1.0,4483.32
Logistics,Transport,1859.82,BE55,Belgium,2023-09-30,1864.86,EUR,1.0,1864.86
Logistics,Vehicle Maintenance,1929.92,BE55,Belgium,2023-09-30,1969.14,EUR,1.0,1969.14
Supply,Supplies,2377.46,BE55,Belgium,2023-09-30,2441.17,EUR,1.0,2441.17
Supply,Warehousing,4326.08,BE55,Belgium,2023-09-30,4678.14,EUR,1.0,4678.14
Supply,Cold Chain,3799.89,BE55,Belgium,2023-09-30,4001.78,EUR,1.0,4001.78
HR,Salaries,2433.99,BE55,Belgium,2023-10-31,2327.65,EUR,1.0,2327.65
HR,Training,2190.61,BE55,Belgium,2023-10-31,2184.84,EUR,1.0,2184.84
HR,Recruitment,2650.63,BE55,Belgium,2023-10-31,2246.32,EUR,1.0,2246.32
Medical,Medications,2889.54,BE55,Belgium,2023-10-31,2313.75,EUR,1.0,2313.75
Medical,Medical Equipment,2887.08,BE55,Belgium,2023-10-31,3140.94,EUR,1.0,3140.94
Medical,Consultations,2273.89,BE55,Belgium,2023-10-31,1821.69,EUR,1.0,1821.69
Logistics,Fuel,1108.01,BE55,Belgium,2023-10-31,1169.05,EUR,1.0,1169.05
Logistics,Transport,2350.76,BE55,Belgium,2023-10-31,2086.36,EUR,1.0,2086.36
Logistics,Vehicle Maintenance,3799.09,BE55,Belgium,2023-10-31,3943.62,EUR,1.0,3943.62
Supply,Supplies,3975.68,BE55,Belgium,2023-10-31,3386.8,EUR,1.0,3386.8
Supply,Warehousing,2750.2,BE55,Belgium,2023-10-31,2780.38,EUR,1.0,2780.38
Supply,Cold Chain,1957.07,BE55,Belgium,2023-10-31,1703.48,EUR,1.0,1703.48
HR,Salaries,4983.92,BE55,Belgium,2023-11-30,4595.55,EUR,1.0,4595.55
HR,Training,4361.73,BE55,Belgium,2023-11-30,4474.02,EUR,1.0,4474.02
HR,Recruitment,3017.06,BE55,Belgium,2023-11-30,2964.53,EUR,1.0,2964.53
Medical,Medications,1025.72,BE55,Belgium,2023-11-30,858.25,EUR,1.0,858.25
Medical,Medical Equipment,4468.81,BE55,Belgium,2023-11-30,4075.47,EUR,1.0,4075.47
Medical,Consultations,1928.21,BE55,Belgium,2023-11-30,1645.08,EUR,1.0,1645.08
Logistics,Fuel,4141.92,BE55,Belgium,2023-11-30,3729.5,EUR,1.0,3729.5
Logistics,Transport,2675.96,BE55,Belgium,2023-11-30,2766.87,EUR,1.0,2766.87
Logistics,Vehicle Maintenance,1581.42,BE55,Belgium,2023-11-30,1304.78,EUR,1.0,1304.78
Supply,Supplies,2707.17,BE55,Belgium,2023-11-30,2234.4,EUR,1.0,2234.4
Supply,Warehousing,1891.06,BE55,Belgium,2023-11-30,2054.47,EUR,1.0,2054.47
Supply,Cold Chain,1286.77,BE55,Belgium,2023-11-30,1059.39,EUR,1.0,1059.39
HR,Salaries,2377.05,BE55,Belgium,2023-12-31,2546.9,EUR,1.0,2546.9
HR,Training,2397.22,BE55,Belgium,2023-12-31,2271.45,EUR,1.0,2271.45
HR,Recruitment,3387.53,BE55,Belgium,2023-12-31,3679.52,EUR,1.0,3679.52
Medical,Medications,4036.87,BE55,Belgium,2023-12-31,4428.14,EUR,1.0,4428.14
Medical,Medical Equipment,3737.99,BE55,Belgium,2023-12-31,4040.24,EUR,1.0,4040.24
Medical,Consultations,1829.52,BE55,Belgium,2023-12-31,1464.0,EUR,1.0,1464.0
Logistics,Fuel,3049.82,BE55,Belgium,2023-12-31,2935.63,EUR,1.0,2935.63
Logistics,Transport,4772.97,BE55,Belgium,2023-12-31,3930.28,EUR,1.0,3930.28
Logistics,Vehicle Maintenance,4825.49,BE55,Belgium,2023-12-31,4267.58,EUR,1.0,4267.58
Supply,Supplies,2812.82,BE55,Belgium,2023-12-31,2791.78,EUR,1.0,2791.78
Supply,Warehousing,1776.9,BE55,Belgium,2023-12-31,1772.57,EUR,1.0,1772.57
Supply,Cold Chain,3907.64,BE55,Belgium,2023-12-31,3985.12,EUR,1.0,3985.12
HR,Salaries,1546.26,BE55,Belgium,2024-01-31,1620.28,EUR,1.0,1620.28
HR,Training,2193.78,BE55,Belgium,2024-01-31,1923.96,EUR,1.0,1923.96
HR,Recruitment,4122.17,BE55,Belgium,2024-01-31,3397.84,EUR,1.0,3397.84
Medical,Medications,3883.34,BE55,Belgium,2024-01-31,3927.37,EUR,1.0,3927.37
Medical,Medical Equipment,1344.35,BE55,Belgium,2024-01-31,1211.56,EUR,1.0,1211.56
Medical,Consultations,2137.51,BE55,Belgium,2024-01-31,1932.46,EUR,1.0,1932.46
Logistics,Fuel,3905.12,BE55,Belgium,2024-01-31,3283.56,EUR,1.0,3283.56
Logistics,Transport,3743.51,BE55,Belgium,2024-01-31,3816.16,EUR,1.0,3816.16
Logistics,Vehicle Maintenance,1137.34,BE55,Belgium,2024-01-31,1117.0,EUR,1.0,1117.0
Supply,Supplies,1870.6,BE55,Belgium,2024-01-31,1909.52,EUR,1.0,1909.52
Supply,Warehousing,4478.3,BE55,Belgium,2024-01-31,4627.09,EUR,1.0,4627.09
Supply,Cold Chain,1484.82,BE55,Belgium,2024-01-31,1305.13,EUR,1.0,1305.13
HR,Salaries,3469.25,BE55,Belgium,2024-02-29,3387.58,EUR,1.0,3387.58
HR,Training,1827.23,BE55,Belgium,2024-02-29,1662.4,EUR,1.0,1662.4
HR,Recruitment,2945.4,BE55,Belgium,2024-02-29,2888.21,EUR,1.0,2888.21
Medical,Medications,2859.7,BE55,Belgium,2024-02-29,2717.63,EUR,1.0,2717.63
Medical,Medical Equipment,1604.43,BE55,Belgium,2024-02-29,1719.31,EUR,1.0,1719.31
Medical,Consultations,4918.77,BE55,Belgium,2024-02-29,4125.44,EUR,1.0,4125.44
Logistics,Fuel,1158.99,BE55,Belgium,2024-02-29,1252.52,EUR,1.0,1252.52
Logistics,Transport,3783.84,BE55,Belgium,2024-02-29,3477.4,EUR,1.0,3477.4
Logistics,Vehicle Maintenance,3478.99,BE55,Belgium,2024-02-29,2788.57,EUR,1.0,2788.57
Supply,Supplies,3177.46,BE55,Belgium,2024-02-29,3468.72,EUR,1.0,3468.72
Supply,Warehousing,3669.87,BE55,Belgium,2024-02-29,3838.84,EUR,1.0,3838.84
Supply,Cold Chain,3680.51,BE55,Belgium,2024-02-29,3864.33,EUR,1.0,3864.33
HR,Salaries,1564.7,BE55,Belgium,2024-03-31,1291.14,EUR,1.0,1291.14
HR,Training,4872.46,BE55,Belgium,2024-03-31,4392.19,EUR,1.0,4392.19
HR,Recruitment,4570.75,BE55,Belgium,2024-03-31,4415.58,EUR,1.0,4415.58
Medical,Medications,4685.63,BE55,Belgium,2024-03-31,3834.34,EUR,1.0,3834.34
Medical,Medical Equipment,4768.09,BE55,Belgium,2024-03-31,3836.67,EUR,1.0,3836.67
Medical,Consultations,4217.63,BE55,Belgium,2024-03-31,4369.72,EUR,1.0,4369.72
Logistics,Fuel,3413.38,BE55,Belgium,2024-03-31,3064.08,EUR,1.0,3064.08
Logistics,Transport,4769.83,BE55,Belgium,2024-03-31,4883.33,EUR,1.0,4883.33
Logistics,Vehicle Maintenance,3227.62,BE55,Belgium,2024-03-31,2915.11,EUR,1.0,2915.11
Supply,Supplies,1592.9,BE55,Belgium,2024-03-31,1751.78,EUR,1.0,1751.78
Supply,Warehousing,3017.92,BE55,Belgium,2024-03-31,2713.66,EUR,1.0,2713.66
Supply,Cold Chain,2718.43,BE55,Belgium,2024-03-31,2734.54,EUR,1.0,2734.54
HR,Salaries,3932.71,BE55,Belgium,2024-04-30,3243.4,EUR,1.0,3243.4
HR,Training,1859.58,BE55,Belgium,2024-04-30,1997.78,EUR,1.0,1997.78
HR,Recruitment,1638.57,BE55,Belgium,2024-04-30,1411.07,EUR,1.0,1411.07
Medical,Medications,3898.46,BE55,Belgium,2024-04-30,3227.42,EUR,1.0,3227.42
Medical,Medical Equipment,3285.98,BE55,Belgium,2024-04-30,2896.46,EUR,1.0,2896.46
Medical,Consultations,2834.01,BE55,Belgium,2024-04-30,3079.62,EUR,1.0,3079.62
Logistics,Fuel,1247.77,BE55,Belgium,2024-04-30,1354.36,EUR,1.0,1354.36
Logistics,Transport,3977.77,BE55,Belgium,2024-04-30,4044.36,EUR,1.0,4044.36
Logistics,Vehicle Maintenance,3393.55,BE55,Belgium,2024-04-30,3085.34,EUR,1.0,3085.34
Supply,Supplies,2507.3,BE55,Belgium,2024-04-30,2220.77,EUR,1.0,2220.77
Supply,Warehousing,2581.42,BE55,Belgium,2024-04-30,2804.62,EUR,1.0,2804.62
Supply,Cold Chain,1219.86,BE55,Belgium,2024-04-30,1043.14,EUR,1.0,1043.14
HR,Salaries,3107.94,BE55,Belgium,2024-05-31,3274.13,EUR,1.0,3274.13
HR,Training,2154.43,BE55,Belgium,2024-05-31,1851.15,EUR,1.0,1851.15
HR,Recruitment,1418.36,BE55,Belgium,2024-05-31,1136.38,EUR,1.0,1136.38
Medical,Medications,2097.89,BE55,Belgium,2024-05-31,2081.87,EUR,1.0,2081.87
Medical,Medical Equipment,2927.34,BE55,Belgium,2024-05-31,2757.32,EUR,1.0,2757.32
Medical,Consultations,1492.94,BE55,Belgium,2024-05-31,1394.62,EUR,1.0,1394.62
Logistics,Fuel,3701.86,BE55,Belgium,2024-05-31,3806.38,EUR,1.0,3806.38
Logistics,Transport,4987.59,BE55,Belgium,2024-05-31,4534.37,EUR,1.0,4534.37
Logistics,Vehicle Maintenance,3163.61,BE55,Belgium,2024-05-31,3320.79,EUR,1.0,3320.79
Supply,Supplies,2017.01,BE55,Belgium,2024-05-31,2092.11,EUR,1.0,2092.11
Supply,Warehousing,1660.25,BE55,Belgium,2024-05-31,1479.29,EUR,1.0,1479.29
Supply,Cold Chain,2084.09,BE55,Belgium,2024-05-31,2179.47,EUR,1.0,2179.47
HR,Salaries,1888.66,BE55,Belgium,2024-06-30,1592.66,EUR,1.0,1592.66
HR,Training,2577.48,BE55,Belgium,2024-06-30,2126.75,EUR,1.0,2126.75
HR,Recruitment,1256.07,BE55,Belgium,2024-06-30,1350.2,EUR,1.0,1350.2
Medical,Medications,1423.07,BE55,Belgium,2024-06-30,1173.99,EUR,1.0,1173.99
Medical,Medical Equipment,2739.8,BE55,Belgium,2024-06-30,2370.21,EUR,1.0,2370.21
Medical,Consultations,4386.11,BE55,Belgium,2024-06-30,3894.96,EUR,1.0,3894.96
Logistics,Fuel,1201.4,BE55,Belgium,2024-06-30,982.49,EUR,1.0,982.49
Logistics,Transport,1063.77,BE55,Belgium,2024-06-30,871.75,EUR,1.0,871.75
Logistics,Vehicle Maintenance,1859.92,BE55,Belgium,2024-06-30,1990.21,EUR,1.0,1990.21
Supply,Supplies,1564.95,BE55,Belgium,2024-06-30,1367.68,EUR,1.0,1367.68
Supply,Warehousing,3197.55,BE55,Belgium,2024-06-30,3331.26,EUR,1.0,3331.26
Supply,Cold Chain,3286.14,BE55,Belgium,2024-06-30,3584.06,EUR,1.0,3584.06
HR,Salaries,1951.35,BE55,Belgium,2024-07-31,2045.27,EUR,1.0,2045.27
HR,Training,2956.06,BE55,Belgium,2024-07-31,2686.81,EUR,1.0,2686.81
HR,Recruitment,1879.13,BE55,Belgium,2024-07-31,2023.8,EUR,1.0,2023.8
Medical,Medications,1882.64,BE55,Belgium,2024-07-31,1939.82,EUR,1.0,1939.82
Medical,Medical Equipment,2861.25,BE55,Belgium,2024-07-31,2465.87,EUR,1.0,2465.87
Medical,Consultations,3148.28,BE55,Belgium,2024-07-31,3278.13,EUR,1.0,3278.13
Logistics,Fuel,4046.04,BE55,Belgium,2024-07-31,3932.55,EUR,1.0,3932.55
Logistics,Transport,1153.96,BE55,Belgium,2024-07-31,1097.61,EUR,1.0,1097.61
Logistics,Vehicle Maintenance,1476.51,BE55,Belgium,2024-07-31,1440.15,EUR,1.0,1440.15
Supply,Supplies,2565.83,BE55,Belgium,2024-07-31,2750.3,EUR,1.0,2750.3
Supply,Warehousing,2123.09,BE55,Belgium,2024-07-31,1867.01,EUR,1.0,1867.01
Supply,Cold Chain,3795.01,BE55,Belgium,2024-07-31,3830.21,EUR,1.0,3830.21
HR,Salaries,1253.66,BE55,Belgium,2024-08-31,1103.93,EUR,1.0,1103.93
HR,Training,3297.73,BE55,Belgium,2024-08-31,3478.65,EUR,1.0,3478.65
HR,Recruitment,2014.08,BE55,Belgium,2024-08-31,1966.32,EUR,1.0,1966.32
Medical,Medications,2919.73,BE55,Belgium,2024-08-31,2460.8,EUR,1.0,2460.8
Medical,Medical Equipment,4309.32,BE55,Belgium,2024-08-31,4621.61,EUR,1.0,4621.61
Medical,Consultations,3755.12,BE55,Belgium,2024-08-31,4095.95,EUR,1.0,4095.95
Logistics,Fuel,1124.64,BE55,Belgium,2024-08-31,936.78,EUR,1.0,936.78
Logistics,Transport,1014.58,BE55,Belgium,2024-08-31,1084.7,EUR,1.0,1084.7
Logistics,Vehicle Maintenance,3013.67,BE55,Belgium,2024-08-31,3065.49,EUR,1.0,3065.49
Supply,Supplies,3185.81,BE55,Belgium,2024-08-31,3147.69,EUR,1.0,3147.69
Supply,Warehousing,4819.55,BE55,Belgium,2024-08-31,4327.38,EUR,1.0,4327.38
Supply,Cold Chain,2919.91,BE55,Belgium,2024-08-31,2749.82,EUR,1.0,2749.82
HR,Salaries,1947.03,BE55,Belgium,2024-09-30,1979.28,EUR,1.0,1979.28
HR,Training,4762.05,BE55,Belgium,2024-09-30,4850.71,EUR,1.0,4850.71
HR,Recruitment,3498.76,BE55,Belgium,2024-09-30,3720.52,EUR,1.0,3720.52
Medical,Medications,3012.39,BE55,Belgium,2024-09-30,3089.76,EUR,1.0,3089.76
Medical,Medical Equipment,3824.33,BE55,Belgium,2024-09-30,3262.18,EUR,1.0,3262.18
Medical,Consultations,1944.23,BE55,Belgium,2024-09-30,1847.79,EUR,1.0,1847.79
Logistics,Fuel,3915.07,BE55,Belgium,2024-09-30,3877.96,EUR,1.0,3877.96
Logistics,Transport,4009.41,BE55,Belgium,2024-09-30,4058.76,EUR,1.0,4058.76
Logistics,Vehicle Maintenance,3524.54,BE55,Belgium,2024-09-30,3505.02,EUR,1.0,3505.02
Supply,Supplies,3821.97,BE55,Belgium,2024-09-30,3486.19,EUR,1.0,3486.19
Supply,Warehousing,2945.78,BE55,Belgium,2024-09-30,2760.96,EUR,1.0,2760.96
Supply,Cold Chain,3178.57,BE55,Belgium,2024-09-30,2896.45,EUR,1.0,2896.45
HR,Salaries,1730.96,BE55,Belgium,2024-10-31,1662.78,EUR,1.0,1662.78
HR,Training,2739.69,BE55,Belgium,2024-10-31,2507.15,EUR,1.0,2507.15
HR,Recruitment,1329.35,BE55,Belgium,2024-10-31,1280.37,EUR,1.0,1280.37
Medical,Medications,2194.4,BE55,Belgium,2024-10-31,2348.15,EUR,1.0,2348.15
Medical,Medical Equipment,1547.56,BE55,Belgium,2024-10-31,1248.91,EUR,1.0,1248.91
Medical,Consultations,4119.59,BE55,Belgium,2024-10-31,4288.72,EUR,1.0,4288.72
Logistics,Fuel,4796.26,BE55,Belgium,2024-10-31,4488.53,EUR,1.0,4488.53
Logistics,Transport,2355.72,BE55,Belgium,2024-10-31,2465.19,EUR,1.0,2465.19
Logistics,Vehicle Maintenance,1041.25,BE55,Belgium,2024-10-31,924.58,EUR,1.0,924.58
Supply,Supplies,1351.36,BE55,Belgium,2024-10-31,1092.57,EUR,1.0,1092.57
Supply,Warehousing,4922.74,BE55,Belgium,2024-10-31,4391.09,EUR,1.0,4391.09
Supply,Cold Chain,1419.57,BE55,Belgium,2024-10-31,1215.74,EUR,1.0,1215.74
HR,Salaries,4685.8,BE55,Belgium,2024-11-30,5028.57,EUR,1.0,5028.57
HR,Training,3748.27,BE55,Belgium,2024-11-30,3457.27,EUR,1.0,3457.27
HR,Recruitment,4338.28,BE55,Belgium,2024-11-30,3945.2,EUR,1.0,3945.2
Medical,Medications,2492.67,BE55,Belgium,2024-11-30,2333.42,EUR,1.0,2333.42
Medical,Medical Equipment,2518.18,BE55,Belgium,2024-11-30,2450.43,EUR,1.0,2450.43
Medical,Consultations,1430.14,BE55,Belgium,2024-11-30,1457.52,EUR,1.0,1457.52
Logistics,Fuel,4675.99,BE55,Belgium,2024-11-30,4203.2,EUR,1.0,4203.2
Logistics,Transport,4209.98,BE55,Belgium,2024-11-30,4107.5,EUR,1.0,4107.5
Logistics,Vehicle Maintenance,1753.72,BE55,Belgium,2024-11-30,1667.15,EUR,1.0,1667.15
Supply,Supplies,4330.51,BE55,Belgium,2024-11-30,3879.78,EUR,1.0,3879.78
Supply,Warehousing,4645.75,BE55,Belgium,2024-11-30,4534.5,EUR,1.0,4534.5
Supply,Cold Chain,2933.21,BE55,Belgium,2024-11-30,2525.53,EUR,1.0,2525.53
HR,Salaries,2219.66,BE55,Belgium,2024-12-31,2164.65,EUR,1.0,2164.65
HR,Training,3628.28,BE55,Belgium,2024-12-31,3812.56,EUR,1.0,3812.56
HR,Recruitment,1198.13,BE55,Belgium,2024-12-31,1137.95,EUR,1.0,1137.95
Medical,Medications,1159.35,BE55,Belgium,2024-12-31,973.17,EUR,1.0,973.17
Medical,Medical Equipment,3447.17,BE55,Belgium,2024-12-31,3624.59,EUR,1.0,3624.59
Medical,Consultations,3530.75,BE55,Belgium,2024-12-31,3307.06,EUR,1.0,3307.06
Logistics,Fuel,3918.21,BE55,Belgium,2024-12-31,3986.86,EUR,1.0,3986.86
Logistics,Transport,4625.46,BE55,Belgium,2024-12-31,5012.91,EUR,1.0,5012.91
Logistics,Vehicle Maintenance,1495.65,BE55,Belgium,2024-12-31,1324.06,EUR,1.0,1324.06
Supply,Supplies,4373.48,BE55,Belgium,2024-12-31,4377.82,EUR,1.0,4377.82
